cust_id,trans_date,month_name,qtr,fy,is_weekend,loc_name,items,total_quantity,total_sales
cust_01,2022-01-01,January,1,22,True,in-store,['1697'],6,75.0
cust_01,2022-01-02,January,1,22,True,in-store,['1686'],9,301.5
cust_01,2022-01-07,January,1,22,False,in-store,['1721'],9,369.0
cust_01,2022-01-11,January,1,22,False,online,['1611'],1,6.5
cust_01,2022-01-12,January,1,22,False,in-store,['1727'],9,153.0
cust_01,2022-01-13,January,1,22,False,in-store,['1678'],8,88.0
cust_01,2022-01-15,January,1,22,True,online,"['1647', '1718']",8,148.0
cust_01,2022-01-19,January,1,22,False,online,['1623'],10,410.0
cust_01,2022-01-21,January,1,22,False,in-store,"['1652', '1730']",7,179.0
cust_01,2022-01-21,January,1,22,False,online,['1773'],5,85.0
cust_01,2022-01-22,January,1,22,True,in-store,['1766'],5,190.0
cust_01,2022-01-23,January,1,22,True,online,['1789'],7,245.0
cust_01,2022-01-24,January,1,22,False,online,['1755'],5,62.5
cust_01,2022-01-26,January,1,22,False,online,['1713'],6,228.0
cust_01,2022-01-27,January,1,22,False,online,['1686'],3,100.5
cust_01,2022-01-28,January,1,22,False,online,['1744'],1,29.0
cust_01,2022-01-31,January,1,22,False,online,['1610'],2,16.0
cust_01,2022-02-01,February,1,22,False,in-store,['1727'],1,17.0
cust_01,2022-02-02,February,1,22,False,online,['1757'],8,172.0
cust_01,2022-02-04,February,1,22,False,online,['1631'],6,111.0
cust_01,2022-02-09,February,1,22,False,in-store,['1652'],10,245.0
cust_01,2022-02-11,February,1,22,False,online,['1695'],3,60.0
cust_01,2022-02-13,February,1,22,True,in-store,['1699'],9,315.0
cust_01,2022-02-15,February,1,22,False,online,"['1660', '1711']",10,335.0
cust_01,2022-02-18,February,1,22,False,in-store,['1719'],6,138.0
cust_01,2022-02-20,February,1,22,True,online,['1668'],9,220.5
cust_01,2022-03-02,March,1,22,False,in-store,"['1627', '1623']",9,312.0
cust_01,2022-03-05,March,1,22,True,in-store,['1619'],10,95.0
cust_01,2022-03-06,March,1,22,True,online,['1752'],10,65.0
cust_01,2022-03-09,March,1,22,False,online,['1689'],8,40.0
